Timestep;Time span;Sum [var]
265;04:25:00;168,19552709811748
266;04:26:00;168,14969816882032
267;04:27:00;168,12422270704153
268;04:28:00;168,01744238394642
269;04:29:00;167,81129286179197
270;04:30:00;167,75621763995116
271;04:31:00;167,71531466121777
272;04:32:00;167,66797656860908
273;04:33:00;167,64917359432584
274;04:34:00;167,5018319030107
275;04:35:00;167,30918972693374
276;04:36:00;166,75271719381186
277;04:37:00;165,11254851546647
278;04:38:00;165,04054145131
279;04:39:00;164,87335949742234
280;04:40:00;164,59163063673424
281;04:41:00;163,9763847998817
282;04:42:00;163,8321968365018
283;04:43:00;162,72703790215792
284;04:44:00;162,36975384698457
285;04:45:00;162,35552486819637
286;04:46:00;162,14574450539007
287;04:47:00;162,0438326354271
288;04:48:00;161,33136388840916
289;04:49:00;160,4992250389888
290;04:50:00;160,47849314953
291;04:51:00;160,25835569141555
292;04:52:00;159,92724695709558
293;04:53:00;159,50053826279844
294;04:54:00;159,23865750102135
295;04:55:00;159,15225372360194
296;04:56:00;157,50824104884916
297;04:57:00;156,99322925169483
298;04:58:00;156,22658183427598
299;04:59:00;155,10467567436194
300;05:00:00;154,92610394953016
301;05:01:00;153,80249874427687
302;05:02:00;152,7704413869813
303;05:03:00;151,44778494889871
304;05:04:00;151,2280840609416
305;05:05:00;151,03956320200268
306;05:06:00;150,91712122239807
307;05:07:00;150,8219835300099
308;05:08:00;150,73787322573045
309;05:09:00;150,54402557579832
310;05:10:00;148,99818928417506
311;05:11:00;148,23022246677198
312;05:12:00;145,83740911878988
313;05:13:00;145,21005868827254
314;05:14:00;145,01930901342087
315;05:15:00;144,28648308697723
316;05:16:00;144,1309651408245
317;05:17:00;143,866284922664
318;05:18:00;143,76884389363744
319;05:19:00;143,52411447535397
320;05:20:00;142,98246551126516
321;05:21:00;142,97553726806612
322;05:22:00;142,53014057826488
323;05:23:00;142,39543667836523
324;05:24:00;141,64538278223682
325;05:25:00;141,2641348192629
326;05:26:00;140,7521833764332
327;05:27:00;140,49063880216494
328;05:28:00;140,24735448201753
329;05:29:00;139,33674934082248
330;05:30:00;139,15501505367558
331;05:31:00;138,72327050571982
332;05:32:00;138,5442534177801
333;05:33:00;138,35147682411394
334;05:34:00;138,07791685814996
335;05:35:00;137,2469084425128
336;05:36:00;136,93995221413175
337;05:37:00;136,29952959364192
338;05:38:00;136,18207892583752
339;05:39:00;135,89914307042685
340;05:40:00;135,82325455862753
341;05:41:00;135,6056241313369
342;05:42:00;135,50817747748405
343;05:43:00;135,36499465004363
344;05:44:00;135,29162227124743
345;05:45:00;135,2701600734011
346;05:46:00;135,1880179552786
347;05:47:00;134,8847028370105
348;05:48:00;134,6156256058891
349;05:49:00;134,5723919568676
350;05:50:00;134,1973127029525
351;05:51:00;134,18816106869338
352;05:52:00;133,57981666542608
353;05:53:00;133,53930003684428
354;05:54:00;133,20439541977453
355;05:55:00;133,18781566732076
356;05:56:00;133,05618438987517
357;05:57:00;132,97075607826565
358;05:58:00;132,62925454722756
359;05:59:00;132,6072800141246
360;06:00:00;132,53690307143106
361;06:01:00;132,46002741269223
362;06:02:00;132,43500255490412
363;06:03:00;132,36329146795237
364;06:04:00;131,70241078747608
365;06:05:00;130,7917613593324
366;06:06:00;130,6150815454436
367;06:07:00;129,94854044937554
368;06:08:00;129,05349766301384
369;06:09:00;128,02382880676976
370;06:10:00;127,25317177190998
371;06:11:00;127,07068570133322
372;06:12:00;126,9880735719954
373;06:13:00;126,75244488673282
374;06:14:00;126,74551214889607
375;06:15:00;125,65419901821124
376;06:16:00;125,56169830699707
377;06:17:00;125,4723872087902
378;06:18:00;125,39094265913538
379;06:19:00;125,30823036408584
380;06:20:00;125,16938599967342
381;06:21:00;125,11062481576201
382;06:22:00;124,99281473774327
383;06:23:00;124,71736415494459
384;06:24:00;124,6888590917865
385;06:25:00;124,51253524279318
386;06:26:00;124,51068484459243
387;06:27:00;124,47859506186221
388;06:28:00;124,45777797595093
389;06:29:00;124,41640068502069
390;06:30:00;124,24032228491896
391;06:31:00;124,08183997845359
392;06:32:00;124,02991493766028
393;06:33:00;123,95265851438958
394;06:34:00;123,7783797022955
395;06:35:00;123,52453021289313
396;06:36:00;123,1415877351423
397;06:37:00;123,07600423567706
398;06:38:00;122,96896181704045
399;06:39:00;122,50282012946492
400;06:40:00;121,91360156509346
401;06:41:00;121,05088331088392
402;06:42:00;120,9742398123659
403;06:43:00;119,94254902817455
404;06:44:00;119,39091890068629
405;06:45:00;118,62851260670664
406;06:46:00;118,53081162154625
407;06:47:00;117,90965680246514
408;06:48:00;117,87133858478208
409;06:49:00;117,53001093076763
410;06:50:00;116,83571188741786
411;06:51:00;116,6852121377338
412;06:52:00;116,43765703211824
413;06:53:00;116,40391796356869
414;06:54:00;114,9183011610339
415;06:55:00;114,82641181319099
416;06:56:00;114,45036552791422
417;06:57:00;114,13555994780174
418;06:58:00;113,95510127422995
419;06:59:00;113,41448528553985
420;07:00:00;113,4038074044957
421;07:01:00;113,21766306969003
422;07:02:00;113,06366975172341
423;07:03:00;112,9220590401616
424;07:04:00;112,59777722002417
425;07:05:00;112,44637614028615
426;07:06:00;111,84254485889115
427;07:07:00;111,72151843775535
428;07:08:00;110,61181392210952
429;07:09:00;109,73988094121722
430;07:10:00;109,65580328266722
431;07:11:00;108,54018207415702
432;07:12:00;107,77431609950332
433;07:13:00;107,51618710208707
434;07:14:00;107,22323667619824
435;07:15:00;107,09912499175468
436;07:16:00;106,73243226945698
437;07:17:00;106,50346070117321
438;07:18:00;106,15975971049306
439;07:19:00;106,00952078358277
440;07:20:00;105,99429104005067
441;07:21:00;105,71346472187606
442;07:22:00;105,48700952127587
443;07:23:00;105,48237716178056
444;07:24:00;105,22210110693038
445;07:25:00;105,04013445683387
446;07:26:00;104,65991758590063
447;07:27:00;104,49622767928406
448;07:28:00;103,07256890508177
449;07:29:00;103,03701049046992
450;07:30:00;102,97841942521802
451;07:31:00;102,61938403930779
452;07:32:00;102,40836766751737
453;07:33:00;102,0422736827264
454;07:34:00;101,69220680495712
455;07:35:00;101,68349366856798
456;07:36:00;101,51370433321156
457;07:37:00;101,1707273270755
458;07:38:00;99,50932590739829
459;07:39:00;99,32539302538429
460;07:40:00;99,0474928640972
461;07:41:00;99,02545763210998
462;07:42:00;98,36797417337309
463;07:43:00;98,28769349507427
464;07:44:00;96,810765355442
465;07:45:00;96,79774253158625
466;07:46:00;96,57191824086505
467;07:47:00;96,55754640842017
468;07:48:00;96,35618434082825
469;07:49:00;96,32281920768682
470;07:50:00;96,20362992439757
471;07:51:00;96,17964665382354
472;07:52:00;96,17776541062167
473;07:53:00;96,17376545693817
474;07:54:00;96,16422921443738
475;07:55:00;96,01606022635076
476;07:56:00;95,9502934419719
477;07:57:00;95,93574642990363
478;07:58:00;95,93215259755455
479;07:59:00;95,89283348681654
480;08:00:00;95,81914390405417
481;08:01:00;95,79712282699445
482;08:02:00;95,72017906405036
483;08:03:00;95,71837289744107
484;08:04:00;95,68824317392381
485;08:05:00;95,64495488471623
486;08:06:00;95,59645100583998
487;08:07:00;95,58181813832998
488;08:08:00;95,57260702173414
489;08:09:00;95,55038622137322
490;08:10:00;95,41431559018059
491;08:11:00;95,37908545250096
492;08:12:00;95,32510461292725
493;08:13:00;95,29127729108264
494;08:14:00;95,20716955477303
495;08:15:00;95,10739996016194
496;08:16:00;94,91643479978653
497;08:17:00;94,75341229748354
498;08:18:00;94,74293981380336
499;08:19:00;94,35438142971977
500;08:20:00;94,22321650436393
501;08:21:00;93,98368536516558
502;08:22:00;93,76187935206283
503;08:23:00;93,66116197702227
504;08:24:00;93,44010239724153
505;08:25:00;93,425869850168
506;08:26:00;93,37240737830024
507;08:27:00;93,29905849923368
508;08:28:00;93,2914986208624
509;08:29:00;93,25298588950915
510;08:30:00;93,23739855744303
511;08:31:00;93,22886040439721
512;08:32:00;93,21858764710312
513;08:33:00;93,20813455430938
514;08:34:00;93,1946882181732
515;08:35:00;93,18689731593025
516;08:36:00;93,18514366916374
517;08:37:00;93,14556577562401
518;08:38:00;93,12646980306513
519;08:39:00;93,11662294163428
520;08:40:00;93,1137493132149
521;08:41:00;93,1115485667667
522;08:42:00;93,10688852637624
523;08:43:00;93,10165496265338
524;08:44:00;93,08700983712316
525;08:45:00;93,08508766805768
526;08:46:00;93,07971665846956
527;08:47:00;93,06685319720546
528;08:48:00;93,03738476721482
529;08:49:00;93,0213007661948
530;08:50:00;93,0116351132794
531;08:51:00;93,0024828883038
532;08:52:00;92,99791369352756
533;08:53:00;92,98960893156392
534;08:54:00;92,96161137572673
535;08:55:00;92,95186885239995
536;08:56:00;92,93385809323371
537;08:57:00;92,92125731585014
538;08:58:00;92,91749042171341
539;08:59:00;92,89217030488346
540;09:00:00;92,89135039167272
541;09:01:00;92,87284376154874
542;09:02:00;92,86290206459172
543;09:03:00;92,8608234039817
544;09:04:00;92,85652939798362
545;09:05:00;92,8495055301245
546;09:06:00;92,82088904036925
547;09:07:00;92,81872728426983
548;09:08:00;92,80804404634112
549;09:09:00;92,78492751751901
550;09:10:00;92,78129949177595
551;09:11:00;92,7699139846972
552;09:12:00;92,76774109897787
553;09:13:00;92,74539203418936
554;09:14:00;92,74465906414821
555;09:15:00;92,73540934548953
556;09:16:00;92,72384645852364
557;09:17:00;92,7217921162744
558;09:18:00;92,7197226040484
