Reactive.Time;Time span;Living Room Light (100W) [var];Kitchen Light (100W) [var];Cellar Light (200W) [var];Bathroom Light (100W) [var];Bathroom Mirror Light 10 W (LED) [var];Bedroom Light (200W) [var];Egg Cooker / Russell Hobbs 14048-56 Stylo [var];Juicer / Moulinex Vitafruit [var];Kitchen radio / AEG KRC 4323 CD [var];Single Stove Plate [var];Nespresso Coffee Machine, Single Cup [var];Food Slicer / DOMO Schneidemaschine DO521S [var];Toaster Salco MT 400 [var];Electric Kettle / Petra WK288 1.5L [var];AEG PN 2200 RX 4935365097 [var];Hand-held Circular Saw / Bosch PKS 46 [var];Skil 4270 [var];Polishing Machine / Flex L 602 VR [var];Hedge Trimmer / Bosch AHS 550-24 ST [var];Atika LH 2500 G [var];Lawn Mower / Sabo 32-EL [var];Energy Saving Lamp / EL-REF 11 E27 [var];CD/DVD Player / Philips DVDR 725 H [var];TV Medion MD20123_DE_A [var];SAT Receiver / Kathrein UFS913 [var];Miele DG 1450 [var];Handmixer / Phillips Robust HR 1581 [var];Extractor Hood / Miele DA 429-4 [var];Kitchen Stove / Bauknecht Heko 750 PT Kitchen stove left hind - full power [var];Microwave / Panasonic NN 5259 [var];Dishwasher NEFF SD6P1F (2011) [var];Laptop Sony Vaio SVE151G11M [var];Steam Iron / Phillips GC 4410 [var];Washing Machine / Bosch WAE 28143 [var];AEG NM 2701 Premium [var];Hair Dryer Braun Silencio 1250 [var];Canister vacuum cleaner / Siemens VS 06 G 1831 [var];Siemens Kl 20 LA 65 (A+) [var];Electric Razor Braun Cruzer 5 [var];Electric Toothbrush Dondodent Professional Clean [var];Router O2 Box 6431 [var];
22;00:22:00;0;0;0;0;0;0;0;0;0,3238493828622455;-25,4035836065574;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26129916294134586;-49,8641131147541;0,32698591097866;0;0;0;0;2,8216830847618737;-157,855868852459;-24,4187524590164;0;0;0;-16,8287868852459;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
23;00:23:00;0;0;0;0;0;0;0;0;0,325538838854702;-25,4035836065574;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2613207783278491;-49,8641131147541;0,32717636224070423;0;0;0;0;2,8295090709134856;-157,855868852459;-24,3763885245902;0;0;0;-16,8287868852459;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
24;00:24:00;0;0;0;0;0;0;0;0;0,3257035817530321;-25,4035836065574;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2618731757681928;-49,8641131147541;0,3280698973824262;0;0;0;0;2,832896024574656;-157,716836065574;-24,1212868852459;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
25;00:25:00;0;0;0;0;0;0;0;0;0,3261539585913169;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26203050675613293;-49,8641131147541;0,3281314778600417;0;0;0;0;2,8384099303454233;-157,716836065574;-24,0826459016393;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
26;00:26:00;0;0;0;0;0;0;0;0;0,32678027051336694;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2638686838267277;-49,8641131147541;0,32813319802225943;0;0;0;0;2,838646613635176;-157,614426229508;-24,0632180327869;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
27;00:27:00;0;0;0;0;0;0;0;0;0,3276515787630297;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26392131428484344;-49,8641131147541;0,3283704169515617;0;0;0;0;2,8413919155416876;-157,614426229508;-24,0632180327869;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
28;00:28:00;0;0;0;0;0;0;0;0;0,32769157403396193;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2639630465998823;-49,8641131147541;0,3290336974261999;0;0;0;0;2,842348172767696;-157,614426229508;-24,0252950819672;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
29;00:29:00;0;0;0;0;0;0;0;0;0,32772088783468334;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2644686757751192;-49,8641131147541;0,32959845026610934;0;0;0;0;2,849249055085387;-157,239590163934;-24,0252950819672;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
30;00:30:00;0;0;0;0;0;0;0;0;0,32773917512457906;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2645237432508082;-49,8641131147541;0,32999175172988543;0;0;0;0;2,851725980402719;-157,239590163934;-23,9716360655738;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
31;00:31:00;0;0;0;0;0;0;0;0;0,32845933010924944;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26574015742120466;-49,8641131147541;0,33016550805725065;0;0;0;0;2,8534894836084894;-157,138016393443;-23,9716360655738;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
32;00:32:00;0;0;0;0;0;0;0;0;0,32848308410470783;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26587146340099954;-49,8641131147541;0,3310518908303135;0;0;0;0;2,8583494124137085;-157,138016393443;-23,9317983606557;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
33;00:33:00;0;0;0;0;0;0;0;0;0,3301753384658202;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2660019937743761;-49,8641131147541;0,33108521754925146;0;0;0;0;2,8709581079896824;-157,138016393443;-23,9317983606557;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
34;00:34:00;0;0;0;0;0;0;0;0;0,33018182171040766;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26607124179396086;-49,8641131147541;0,3319198642784095;0;0;0;0;2,8709896186504196;-156,644049180328;-23,8500360655738;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
35;00:35:00;0;0;0;0;0;0;0;0;0,330552902030296;-25,0629573770492;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,2660778861720351;-49,8641131147541;0,33213875819777805;0;0;0;0;2,87868214615016;-156,644049180328;-23,8500360655738;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
36;00:36:00;0;0;0;0;0;0;0;0;0,33111747938680997;-24,8219327868852;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26699912378439417;-49,8641131147541;0,3322663541700215;0;0;0;0;2,8823604329212844;-149,326836065574;-23,8468163934426;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
37;00:37:00;0;0;0;0;0;0;0;0;0,3312388252114785;-24,8219327868852;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26712863898048944;-49,8641131147541;0,33242258335771596;0;0;0;0;2,885285991618766;-149,326836065574;-23,8468163934426;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
38;00:38:00;0;0;0;0;0;0;0;0;0,3322461440250886;-24,8219327868852;0;0;-38,7271737704918;0;0;0;0;0;0;0;0;0;0,26737469490830884;-49,8641131147541;0,3330294814000404;0;0;0;0;2,889024117541449;-147,808983606557;-23,8124967213115;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
39;00:39:00;0;0;0;0;0;0;0;0;0,33291107496439803;-24,8219327868852;0;0;0;0;0;0;0;0;0;0;0;0;0,2678898964380161;-49,8641131147541;0,3331779811257155;0;0;0;0;2,893185199411792;-147,808983606557;-23,8124967213115;0;0;0;0;0;0;-0,227673278688525;-4,17003360655738;-9,95073016393443;
