Inner Device Heat Gains.Time;Time span;Living Room Light (100W) [Watt];Kitchen Light (100W) [Watt];Bathroom Light (100W) [Watt];Bathroom Mirror Light 10 W (LED) [Watt];Bedroom Light (200W) [Watt];Egg Cooker / Russell Hobbs 14048-56 Stylo [Watt];Juicer / Moulinex Vitafruit [Watt];Kitchen radio / AEG KRC 4323 CD [Watt];Single Stove Plate [Watt];Nespresso Coffee Machine, Single Cup [Watt];Food Slicer / DOMO Schneidemaschine DO521S [Watt];Toaster Salco MT 400 [Watt];PC / Acer 8400 [Watt];PC Monitor / Fujitsu Siemens Scaleoview D19-1 [Watt];Kitchen Stove / Bauknecht Heko 750 PT Kitchen-stove right hind [Watt];Christopeit Treadmill TM 2 Pro [Watt];Laptop Sony Vaio SVE151G11M [Watt];Lawn Mower / Sabo 32-EL [Watt];Hifi System / Sharp XL-HF300PH [Watt];Electric Kettle / Petra WK288 1.5L [Watt];Energy Saving Lamp / EL-REF 11 E27 [Watt];CD/DVD Player / Philips DVDR 725 H [Watt];TV Medion MD20123_DE_A [Watt];SAT Receiver / Kathrein UFS913 [Watt];Canister vacuum cleaner / Siemens VS 06 G 1831 [Watt];Microsoft Xbox 360 [Watt];Miele DG 1450 [Watt];Handmixer / Phillips Robust HR 1581 [Watt];Dishwasher NEFF SD6P1F (2011) [Watt];Dryer / Miele T 8626 WP [Watt];Hedge Trimmer / Bosch AHS 550-24 ST [Watt];Atika LH 2500 G [Watt];Steam Iron / Phillips GC 4410 [Watt];Washing Machine / Bosch WAE 28143 [Watt];Hair Dryer Braun Silencio 1250 [Watt];Siemens Kl 20 LA 65 (A+) [Watt];Router O2 Box 6431 [Watt];Electric Razor Braun Cruzer 5 [Watt];Electric Toothbrush Dondodent Professional Clean [Watt];
21;00:21:00;0;0;0;0;0;0;0;0,9807727945774403;0;0;0;0;1,1799689396747166;0,9142814261427533;0;0;2,0605944796969013;0;2,175747053253746;0;0;0,7855358715462852;0,20588229711102488;0,9706516594900327;0;2,591655736839863;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
22;00:22:00;0;0;0;0;0;0;0;0,982967518015134;0;0;0;0;1,1825692913454298;0,9147159417825554;0;0;2,06547457600221;0;2,1781156481256563;0;0;0,785767737738702;0,20638651919639636;0,9738877535019121;0;2,5928959256732207;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
23;00:23:00;0;0;0;0;0;0;0;0,9860266883623849;0;0;0;0;1,183198240613941;0,9163457664811626;0;0;2,0705711460763707;0;2,180056304168235;0;0;0,790072293319553;0,20656225984333304;0,9861394357343205;0;2,5941728711249894;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
24;00:24:00;0;0;0;0;0;0;0;0,9885070681214388;0;0;0;0;1,183376008328297;0,9182582012587266;0;0;2,0725070519214723;0;2,186354388363459;0;0;0,7912953897978864;0,2070467501397898;0,9868226091606102;0;2,5960862805057228;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
25;00:25:00;0;0;0;0;0;0;0;0,9904382414615035;0;0;0;0;1,1850077247254303;0,9184702089097904;0;0;2,0764236112224994;0;2,1910038818295683;0;0;0,7938872851193488;0,2077551422743714;0,9911202757872133;0;2,605045231336544;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
26;00:26:00;0;0;0;0;0;0;0;0,9922317978317859;0;0;0;0;1,1853499266272003;0,9208663571104144;0;0;2,0768181849176637;0;2,1910643034885;0;0;0,7965668598822093;0,2078865035810116;0,9972771318909293;0;2,6060105814078978;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
27;00:27:00;0;0;0;0;0;0;0;0,9949985002098302;0;0;0;0;1,188312136050732;0,9214186856890515;0;0;2,0814973553658507;0;2,193834109819056;0;0;0,7966610800555836;0,2081781946841158;0,9983869466907106;0;2,6063930635937225;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
28;00:28:00;0;0;0;0;0;0;0;0,9950349145106627;0;0;0;0;1,1885608957835163;0,9223722904713727;0;0;2,081681548603437;0;2,19891081338013;0;0;0,7970303351334955;0,20851213084615342;1,0003204017037957;0;2,610149514926677;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
29;00:29:00;0;0;0;0;0;0;0;0,9969876506925142;0;0;0;0;1,190792519610655;0,9229037118154779;0;0;2,086581588929559;0;2,204441855363817;0;0;0,7970977802587619;0,20871545934297006;1,0014775865853305;0;2,624015541058393;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
30;00:30:00;0;0;0;0;0;0;0;0,9980863632456258;0;0;0;0;1,192018928079796;0,9238662552343145;0;0;2,0896075626403774;0;2,2059007842773077;0;0;0,7988629804141986;0,20879407384074555;1,0018227070352015;0;2,628220948049069;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
31;00:31:00;0;0;0;0;0;0;0;0,9988104796601963;0;0;0;0;1,1924387547759125;0,9241150309668315;0;0;2,0896784444712186;0;2,2075564139012944;0;0;0,7998055895036845;0,20880954060675322;1,0018967090303141;0;2,6282421499553656;0;0;0;0;0;0;0;0;0;0;6,11708049180328;0,926795163934426;0,16089737704918;
